gender,age,occ,student,occ_code,occ_code,live,town,pc.district,bread,furniture,clothing,gum,footwear,meal,walkway,frozen,prank,group,foot.cut,gas.glass,for.more,one.gone,book.spook,look.luke,fur.bear,singer.finger,pour.poor,eight.ate,weighed.wade,thin.fin,spa.spar,boat.bought,mute.moot,war.wore,fool.full.fall,give.it.me,I.done.it,things.what,you.was,you.wasnt,beaches.was,horses.wasnt,i.werent,i.were,we.was,we.wasnt,they.was,they.wasnt,she.were,she.werent,not.got.it,look.at.them,right.adj,right.n,not.be,was.sat,coming.the,go.cinema,accent_self_id,accent_self_eval_1
Female,22,Travel Consultant ,No,"3. 'White-collar' and lower managerial or clerical occupations (e.g. office worker, small business owner, admin assistant, secretary etc.)",3,"Yes, for all of that time",Chester,Sy147bj,Bap,Sofa,Trousers,(Chewing) gum,Pumps,Dinner,Alley(way),Ice lolly,"Knock and run, knock knock run, knock door run, knock-a-door run",You guys,Don't rhyme,Don't rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Rhyme,Same,Same,Same,Different,Same,Different,Different,Same,They all sound different to each other,a. I'd say this myself,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,c. I've heard some people use this expression,a. I'd say this myself,a. I'd say this myself,c. I've heard some people use this expression,Well spoken but with bits of northern ,6
Male,22,Student,Yes,"3. 'White-collar' and lower managerial or clerical occupations (e.g. office worker, small business owner, admin assistant, secretary etc.)",3,"Yes, for all of that time",Hook,RG27,Roll,"Settee,Sofa",Trousers,(Chewing) gum,Other...,Dinner,"Alley(way),Passage",Ice lolly,"Knock knock ginger, knock down ginger, knock off ginger, knocky door ginger, or some other term with 'ginger' in it","You,You all,You guys,You lot",Don't rhyme,Don't rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Same,Same,Same,Different,Same,Different,Different,Same,"'Fall' and 'fool' sound the same, 'full' sounds different",e. No native speaker of English would say this,"d. A speaker of English might say this, but I haven't really heard it",e. No native speaker of English would say this,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",e. No native speaker of English would say this,e. No native speaker of English would say this,"b. I wouldn't use it, but people from my area do","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",e. No native speaker of English would say this,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,e. No native speaker of English would say this,e. No native speaker of English would say this,Received Pronunciation,7
Female,30,Head of customer success,No,"3. 'White-collar' and lower managerial or clerical occupations (e.g. office worker, small business owner, admin assistant, secretary etc.)",3,"Yes, for all of that time",South east London (Forest Hill),SE23,Roll,Sofa,Trousers,(Chewing) gum,Plimsolls,Dinner,Alley(way),Ice lolly,"Knock knock ginger, knock down ginger, knock off ginger, knocky door ginger, or some other term with 'ginger' in it","You,You all,You guys,You lot",Don't rhyme,Don't rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Same,Same,Same,Same,Same,Different,Different,Same,"'Fall' and 'fool' sound the same, 'full' sounds different",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it","b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do",London,3
Female,22,Student,Yes,"3. 'White-collar' and lower managerial or clerical occupations (e.g. office worker, small business owner, admin assistant, secretary etc.)",3,"Yes, for all of that time",Edinburgh,EH26,Roll,Sofa,Trousers,(Chewing) gum,Plimsolls,Dinner,Alley(way),Ice lolly,"Chap door run, chappy, happy chappy, or some other term with 'chap' or 'chappy' in it",You guys,Don't rhyme,Rhyme,Don't rhyme,Don't rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Different,Same,Same,Same,Different,Different,Different,Different,"'Fool' and 'full' sound the same, 'fall' sounds different",e. No native speaker of English would say this,"b. I wouldn't use it, but people from my area do",e. No native speaker of English would say this,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",e. No native speaker of English would say this,e. No native speaker of English would say this,e. No native speaker of English would say this,e. No native speaker of English would say this,"d. A speaker of English might say this, but I haven't really heard it",e. No native speaker of English would say this,"d. A speaker of English might say this, but I haven't really heard it",e. No native speaker of English would say this,e. No native speaker of English would say this,e. No native speaker of English would say this,a. I'd say this myself,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do",a. I'd say this myself,a. I'd say this myself,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",Edinburgh Scottish ,7
Female ,21,Teaching Assistant,No,"3. 'White-collar' and lower managerial or clerical occupations (e.g. office worker, small business owner, admin assistant, secretary etc.)",3,"Yes, for all of that time","Dudley, Croydon and Wigan ",CR8,Roll,Sofa,Trousers,(Chewing) gum,Other...,Dinner,Ginnel,Ice lolly,Cherry knocking,You lot,Don't rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Same,Same,Same,Same,Same,Different,Same,Same,They all sound different to each other,"b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",a. I'd say this myself,"b. I wouldn't use it, but people from my area do",a. I'd say this myself,"b. I wouldn't use it, but people from my area do",a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,"b. I wouldn't use it, but people from my area do",Neutral with a northern twang ,4
Female,38,Makeup artist ,No,"3. 'White-collar' and lower managerial or clerical occupations (e.g. office worker, small business owner, admin assistant, secretary etc.)",3,"Yes, for all of that time",Birmingham ,B30,Bap,Sofa,Trousers,(Chewing) gum,Pumps,Dinner,"Alley(way),Entry",Ice lolly,"Knock and run, knock knock run, knock door run, knock-a-door run",You guys,Don't rhyme,Rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Rhyme,Same,Same,Same,Same,Same,Different,Different,Same,They all sound different to each other,a. I'd say this myself,"d. A speaker of English might say this, but I haven't really heard it","b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do","d. A speaker of English might say this, but I haven't really heard it","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do",a. I'd say this myself,"b. I wouldn't use it, but people from my area do","d. A speaker of English might say this, but I haven't really heard it",a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,Brummie,3
Female,26,Reception,No,"3. 'White-collar' and lower managerial or clerical occupations (e.g. office worker, small business owner, admin assistant, secretary etc.)",3,"Yes, for all of that time",Northfield,B31,Cob,Sofa,Trousers,(Chewing) gum,Pumps,Dinner,Alley(way),Ice lolly,"Knock and run, knock knock run, knock door run, knock-a-door run",Yous(e),Rhyme,Rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Rhyme,Different,Same,Same,Different,Same,Different,Different,Same,They all sound different to each other,a. I'd say this myself,a. I'd say this myself,e. No native speaker of English would say this,a. I'd say this myself,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,a. I'd say this myself,"b. I wouldn't use it, but people from my area do",a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,c. I've heard some people use this expression,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,e. No native speaker of English would say this,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,Brummie,5
Female ,49,Civil servant ,No,"3. 'White-collar' and lower managerial or clerical occupations (e.g. office worker, small business owner, admin assistant, secretary etc.)",3,"Yes, for all of that time",Blackpool,FY2,"Barm,Bap,Bun,Roll","Couch,Settee,Sofa",Trousers,"(Chewing) gum,Chuddy","Plimsolls,Pumps",Dinner,Alley(way),Ice lolly,"Knock and run, knock knock run, knock door run, knock-a-door run",You all,Rhyme,Rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Rhyme,Same,Same,Same,Different,Same,Different,Different,Same,They all sound different to each other,a. I'd say this myself,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,a. I'd say this myself,c. I've heard some people use this expression,c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,a. I'd say this myself,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,Lancashire,3
Male,24,Scheduler,No,"3. 'White-collar' and lower managerial or clerical occupations (e.g. office worker, small business owner, admin assistant, secretary etc.)",3,"Yes, for all of that time",Market Harborough (Leicestershire),LE16,Bap,Sofa,Trousers,(Chewing) gum,Plimsolls,Dinner,Alley(way),Ice lolly,"Knock and run, knock knock run, knock door run, knock-a-door run","You,You guys,You lot",Don't rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Same,Same,Same,Different,Same,Different,Same,Same,They all sound different to each other,"b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it","b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",a. I'd say this myself,"d. A speaker of English might say this, but I haven't really heard it",a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do",Normal British,5
Female,22,Administration ,No,"3. 'White-collar' and lower managerial or clerical occupations (e.g. office worker, small business owner, admin assistant, secretary etc.)",3,"Yes, for all of that time",Chester/Wrexham,Ll12,Bap,Sofa,Trousers,(Chewing) gum,Pumps,Dinner,Alley(way),Ice lolly,"Knock and run, knock knock run, knock door run, knock-a-door run",You guys,Rhyme,Rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Rhyme,Same,Same,Same,Same,Same,Different,Different,Same,They all sound different to each other,a. I'd say this myself,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,a. I'd say this myself,a. I'd say this myself,c. I've heard some people use this expression,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,c. I've heard some people use this expression,Posh,7
Female ,64,Retired,No,"3. 'White-collar' and lower managerial or clerical occupations (e.g. office worker, small business owner, admin assistant, secretary etc.)",3,"Yes, for all of that time",St. Helens merseyside,WA11 7BU,Bun,Settee,Trousers,(Chewing) gum,Other...,Dinner,Alley(way),Ice lolly,"Knock and run, knock knock run, knock door run, knock-a-door run",You all,Rhyme,Rhyme,Rhyme,Rhyme,Rhyme,Rhyme,Rhyme,Rhyme,Same,Same,Same,Same,Same,Different,Same,Same,They all sound different to each other,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,Northern England ,2
Female,23,Actor,Yes,"3. 'White-collar' and lower managerial or clerical occupations (e.g. office worker, small business owner, admin assistant, secretary etc.)",3,"Yes, for all of that time",Wigan,Wn8,Roll,Sofa,Trousers,(Chewing) gum,Pumps,Dinner,Alley(way),Ice lolly,"Knock and run, knock knock run, knock door run, knock-a-door run",You guys,Rhyme,Rhyme,Don't rhyme,Rhyme,Don't rhyme,Rhyme,Rhyme,Rhyme,Same,Different,Same,Different,Same,Different,Different,Different,They all sound different to each other,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",a. I'd say this myself,"b. I wouldn't use it, but people from my area do",a. I'd say this myself,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,a. I'd say this myself,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","A mixture between northern and southern. I trained as an actor for three years in the south. They aren’t keen on northern accents, so I can adapt depending on professional or personal situations ",5
Female,23,Civil servant,No,"2. Intermediate occupations (e.g. teacher, engineer, manager, higher admin etc.)",4,"Yes, for all of that time","Sevenoaks, Kent",TN,Roll,Sofa,Trousers,(Chewing) gum,Other...,"Dinner,Supper",Alley(way),Ice lolly,"Knock knock ginger, knock down ginger, knock off ginger, knocky door ginger, or some other term with 'ginger' in it,Other...","You,You guys",Don't rhyme,Don't rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Same,Same,Same,Different,Same,Different,Different,Same,They all sound different to each other,c. I've heard some people use this expression,a. I'd say this myself,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,e. No native speaker of English would say this,e. No native speaker of English would say this,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",a. I'd say this myself,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,Southern England ,7
Female ,23,Research assistant ,Yes,"2. Intermediate occupations (e.g. teacher, engineer, manager, higher admin etc.)",4,"Yes, for all of that time",Stokesley ,Ts9 5bh,"Bap,Bun,Roll",Sofa,"Trousers,Kecks or kegs (or some other spelling variant)","(Chewing) gum,Chewy,Chuddy",Plimsolls,"Dinner,Supper,Tea","Alley(way),Cut,Passage",Ice lolly,"Knock and run, knock knock run, knock door run, knock-a-door run",Yous(e),Rhyme,Don't rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Different,Same,Same,Same,Same,Same,Different,Same,They all sound different to each other,"b. I wouldn't use it, but people from my area do",a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,"b. I wouldn't use it, but people from my area do",a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,Northern ,5
Female,23,Executive Director (theatre),No,"2. Intermediate occupations (e.g. teacher, engineer, manager, higher admin etc.)",4,"Yes, for all of that time","Oxshott, Surrey ",KT22,"Bap,Roll",Sofa,Trousers,(Chewing) gum,Other...,"Dinner,Tea",Alley(way),Ice lolly,"Knock knock ginger, knock down ginger, knock off ginger, knocky door ginger, or some other term with 'ginger' in it",You guys,Don't rhyme,Don't rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Same,Same,Same,Different,Same,Different,Different,Same,They all sound different to each other,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",e. No native speaker of English would say this,e. No native speaker of English would say this,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,e. No native speaker of English would say this,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,c. I've heard some people use this expression,e. No native speaker of English would say this,c. I've heard some people use this expression,c. I've heard some people use this expression,a. I'd say this myself,a. I'd say this myself,"b. I wouldn't use it, but people from my area do",a. I'd say this myself,c. I've heard some people use this expression,RP,5
Female,31,Senior Customer Success Manager,No,"2. Intermediate occupations (e.g. teacher, engineer, manager, higher admin etc.)",4,"Yes, for all of that time",Bookham,KT22,"Bap,Roll","Settee,Sofa",Trousers,(Chewing) gum,Pumps,"Dinner,Tea",Alley(way),Ice lolly,"Knock knock ginger, knock down ginger, knock off ginger, knocky door ginger, or some other term with 'ginger' in it","You,You all,You guys",Don't rhyme,Don't rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Rhyme,Same,Same,Same,Different,Same,Different,Different,Same,They all sound different to each other,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do",e. No native speaker of English would say this,e. No native speaker of English would say this,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,a. I'd say this myself,e. No native speaker of English would say this,a. I'd say this myself,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",Neutral / Southern ,5
Female ,21,Student ,Yes,"2. Intermediate occupations (e.g. teacher, engineer, manager, higher admin etc.)",4,"Yes, for all of that time",Oldham ,OL98DQ,Muffin,Couch,Trousers,(Chewing) gum,Pumps,"Dinner,Tea",Alley(way),Ice lolly,"Knock and run, knock knock run, knock door run, knock-a-door run",You guys,Rhyme,Rhyme,Don't rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Rhyme,Same,Same,Same,Different,Same,Different,Different,Same,They all sound different to each other,a. I'd say this myself,"b. I wouldn't use it, but people from my area do",a. I'd say this myself,a. I'd say this myself,"b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,c. I've heard some people use this expression,a. I'd say this myself,"b. I wouldn't use it, but people from my area do",a. I'd say this myself,c. I've heard some people use this expression,a. I'd say this myself,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",Mancunian ,4
Male,28,IT Manager,No,"2. Intermediate occupations (e.g. teacher, engineer, manager, higher admin etc.)",4,"Yes, for all of that time",Eckington (near Sheffield and Chesterfield),S21,Cob,Settee,Trousers,"(Chewing) gum,Chud,Chuddy","Plimsolls,Pumps","Dinner,Tea","Alley(way),Jitty,Passage,Other...",Ice lolly,"Knock and run, knock knock run, knock door run, knock-a-door run","You,You all,You guys,You lot,Yousens",Rhyme,Rhyme,Don't rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Rhyme,Same,Same,Same,Same,Same,Different,Different,Same,They all sound different to each other,a. I'd say this myself,c. I've heard some people use this expression,c. I've heard some people use this expression,a. I'd say this myself,c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do",a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,"b. I wouldn't use it, but people from my area do",a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",a. I'd say this myself,a. I'd say this myself,Yorkshire/Sheffield (listen to Sean Bean),5
Male,20,Student,Yes,"2. Intermediate occupations (e.g. teacher, engineer, manager, higher admin etc.)",4,"Yes, for all of that time",Stockton-on-Tees ,TS17,Bun,Settee,Trousers,Chewy,Plimsolls,"Dinner,Tea",Alley(way),Ice lolly,"Knock and run, knock knock run, knock door run, knock-a-door run","You,You guys,You lot,Yous(e)",Rhyme,Rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Different,Same,Same,Same,Same,Different,Different,Same,They all sound different to each other,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","b. I wouldn't use it, but people from my area do","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","b. I wouldn't use it, but people from my area do",a. I'd say this myself,"b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do","d. A speaker of English might say this, but I haven't really heard it",a. I'd say this myself,c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do",Teesside accent,5
Male,23,Account Manager,No,"2. Intermediate occupations (e.g. teacher, engineer, manager, higher admin etc.)",4,"Yes, for all of that time","Great Ayton, Yorkshire",TS9,"Bun,Roll","Couch,Sofa",Trousers,Chewy,"Plimsolls,Other...","Dinner,Tea","Alley(way),Cut",Ice lolly,"Knock and run, knock knock run, knock door run, knock-a-door run","You guys,You lot,Yous(e)",Rhyme,Rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Different,Same,Same,Same,Same,Different,Same,Same,They all sound different to each other,"b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",a. I'd say this myself,"b. I wouldn't use it, but people from my area do",a. I'd say this myself,"d. A speaker of English might say this, but I haven't really heard it","b. I wouldn't use it, but people from my area do",Northern/Boro,5
Female,21,Student,Yes,"2. Intermediate occupations (e.g. teacher, engineer, manager, higher admin etc.)",4,"Yes, for all of that time",Hartlepool ,TS26,Bun,Sofa,Trousers,"(Chewing) gum,Chewy,Chuddy",Plimsolls,"Dinner,Tea",Alley(way),Ice lolly,"Knock and run, knock knock run, knock door run, knock-a-door run,Nicky nicky nine doors","You guys,Yous(e)",Rhyme,Rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Different,Same,Same,Same,Same,Different,Different,Same,They all sound different to each other,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",e. No native speaker of English would say this,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",e. No native speaker of English would say this,a. I'd say this myself,c. I've heard some people use this expression,a. I'd say this myself,"b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,Hartlepudlian / Teeside / North east,6
